たかおかクリニック,052-979-7770,052-979-7700,（〒461-0001）愛知県名古屋市東区泉２丁目２８－２４,
星野胃腸クリニック,073-422-2288,073-422-0007,（〒640-8342）和歌山県和歌山市友田町５丁目３２,
西田整形外科,027-280-2234,027-280-2233,（〒371-0221）群馬県前橋市樋越町６７７－１,－
医療法人正進会丸善クリニック,－,052-264-1222,（〒460-0008）愛知県名古屋市中区栄３丁目１５－２７,－
名古屋泌尿器科病院,－,052-352-1222,（〒454-0818）愛知県名古屋市中川区松葉町５丁目３４,－
二山会宗近病院,082-424-3737,082-423-2726,（〒739-0024）広島県東広島市西条町御薗宇７０３,
北部病院,096-245-1126,096-245-1115,（〒861-5515）熊本県熊本市北区四方寄町１２８１－３,
きたのはら女性クリニック,022-722-2078,022-722-2077,（〒980-0803）宮城県仙台市青葉区国分町２丁目２－５,
宮沢眼科クリニック,－,0436-20-3838,（〒290-0075）千葉県市原市南国分寺台５丁目１－１,－
仙川ムラタクリニック,03-3305-3060,03-5314-1630,（〒182-0002）東京都調布市仙川町１丁目１９－１７,－
ひまわり眼科,03-3649-9092,03-3649-9124,（〒135-0016）東京都江東区東陽４丁目６－１７,－
多摩眼科クリニック,－,042-661-6253,（〒193-0832）東京都八王子市散田町４丁目１０－１１,－
野崎クリニック,03-5621-5027,03-5621-5026,（〒135-0048）東京都江東区門前仲町２丁目１１－８,－
ららぽーと横浜クリニック,－,045-929-5082,（〒224-0053）神奈川県横浜市都筑区池辺町４０３５－１,－
入江医院,－,044-222-2026,（〒210-0006）神奈川県川崎市川崎区砂子２丁目６－２,－
たかおかクリニック,052-979-7770,052-979-7700,（〒461-0001）愛知県名古屋市東区泉２丁目２８－２４,
とくしげ呼吸器クリニック,052-878-5942,052-878-5941,（〒458-0852）愛知県名古屋市緑区元徳重１丁目１７０５,－
しまだ中央クリニック,052-809-2562,052-809-2561,（〒468-0041）愛知県名古屋市天白区保呂町１７０８－２,－
林内科クリニック,052-561-5757,052-561-5757,（〒450-0003）愛知県名古屋市中村区名駅南１丁目１７－２８,－
木村病院,－,052-781-1119,（〒465-0087）愛知県名古屋市名東区名東本通２丁目２２－１,
医療法人藤溪会加藤外科産婦人科・乳腺クリニック,052-836-7951,052-836-7953,（〒467-0027）愛知県名古屋市瑞穂区田辺通５丁目８,－
ふじもと医院,－,077-554-2528,（〒520-3035）滋賀県栗東市霊仙寺１丁目２－１９,－
桜川よしえクリニック,06-4392-8380,06-4392-8388,（〒556-0022）大阪府大阪市浪速区桜川２丁目２－３１,
ふくずみアレルギー科,06-6940-2703,06-6940-2702,（〒540-0012）大阪府大阪市中央区谷町１丁目５－６－４Ｆ,－
山辺レディースクリニック,078-335-0655,078-335-0555,（〒650-0021）兵庫県神戸市中央区三宮町２丁目５－１,－
のりはる診療所,－,072-758-5226,（〒666-0033）兵庫県川西市栄町１１－１－１１６,－
吉川クリニック,078-330-2042,078-219-2407,（〒654-0037）兵庫県神戸市須磨区行平町２丁目１－２,－
星野胃腸クリニック,073-422-2288,073-422-0007,（〒640-8342）和歌山県和歌山市友田町５丁目３２,
医療法人宮本形成外科,082-264-8804,082-264-8800,（〒732-0814）広島県広島市南区段原南２丁目３－２２,
高知整形・脳外科病院,088-875-4311,088-822-1285,（〒780-0901）高知県高知市上町４丁目７－２０,－
緒方良神経科クリニック,092-722-4139,092-752-0090,（〒810-0001）福岡県福岡市中央区天神２丁目１３－１７－９Ｆ,－
一木皮膚科,092-581-1013,092-581-1013,（〒812-0879）福岡県福岡市博多区銀天町１丁目５－８,－
えとう眼科クリニック,－,092-935-2366,（〒811-2244）福岡県糟屋郡志免町志免中央４丁目７－３０,
占部医院,－,092-761-2306,（〒810-0002）福岡県福岡市中央区西中洲６－２０－１Ｆ,－
森レディースクリニック,092-521-2563,092-521-5868,（〒810-0011）福岡県福岡市中央区高砂１丁目４－３,－
日赤通り谷﨑ＭＡクリニック,096-374-7879,096-374-7878,（〒862-0924）熊本県熊本市中央区帯山８丁目１－１１,
足立・有馬小児科神経内科,096-349-1718,096-349-1717,（〒861-8038）熊本県熊本市東区長嶺東４丁目２－１,－
佐藤まゆみメンタルクリニック,092-554-4780,092-554-4788,（〒815-0033）福岡県福岡市南区大橋１丁目４－５－６Ｆ,－
こばやしクリニック,0235-64-5355,0120-353857,（〒999-7604）山形県鶴岡市藤浪４丁目１１１－２,－
うえむらクリニック形成外科,－,0120-864235,（〒589-0011）大阪府大阪狭山市半田１丁目４３－１,－
はらだ病院,0166-25-7893,0166-23-2780,（〒070-0031）北海道旭川市１条通１６丁目右７,
上田病院（医療法人社団）,0143-43-2325,0143-44-3690,（〒050-0083）北海道室蘭市東町２丁目２４－６,－
久松耳鼻咽喉科皮フ科医院,－,029-821-0574,（〒300-0043）茨城県土浦市中央１丁目１２－２２,－
鮫島病院,099-222-0130,099-224-2277,（〒892-0846）鹿児島県鹿児島市加治屋町９－８,
西田整形外科,027-280-2234,027-280-2233,（〒371-0221）群馬県前橋市樋越町６７７－１,－
医療法人正進会丸善クリニック,－,052-264-1222,（〒460-0008）愛知県名古屋市中区栄３丁目１５－２７,－
